Date of event,Name of event,At approximately what time did you arrive at this event?,At approximately what time did you leave this event?,Please rate your overall satisfaction with this event.,Please elaborate on your rating above - why do you feel this way?,"If this event were to happen again in the future, what could we do to improve your experience?","Based on your impression of the event prior to attending (from marketing, communications, word of mouth, etc.) how well did the event meet your expectations?",What could we have done differently to meet your expectations?,How safe did you feel at the event?,Did you feel the event was inclusive?,What could we have done differently to make the event more inclusive?,How fun did you feel the event was?,Please provide any additional feedback you have about this event that has not been shared in your answers to previous questions.,How satisfied are you with social life at Bates overall?,Please elaborate on your rating above - why do you feel this way?,"Please provide ideas, if any, for ways to improve social life on campus, or for events or activities that you would like to attend on campus.",Class year
17-Sep-22,Bateschella,9:30 PM,10:30 PM,5 - Highly satisfied,It was a lot of fun seeing friends and meeting new people while also going in the bouncy house or on the mechanical unicorn. The performances were also awesome and made it feel magical.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,Amazing! Great sense of community.,4 - Satisfied,"Social life at Bates can sometimes be cliquey, especially with the sports teams. ",More events that are open and welcoming to everyone :),2025
17-Sep-22,Bateschella,11:00 PM,12:00am (midnight),5 - Highly satisfied,"Free food, live music, photo booth, overall fun event ",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,It feels inclusive and Everyone can attend if they want to,,2025
17-Sep-22,Bateschella,9:15 PM,12:30 AM,4 - Satisfied,"The music was better than I thought it would be, and it was overall just more enjoyable than I was expecting. ",,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,Social life at Bates on campus event wise is pretty okay. I do wish that the dances could be brought back as I was looking forward to going to them.,,2025
17-Sep-22,Bateschella,12:30 AM,12:45 AM,3 - Neither satisfied nor dissatisfied,"I heard the mechanical unicorn was fun and the poutine and pizza was great. I didn't really attend for long, just to see what was going on and grab pizza at the end of the night. The location and lighting was not the most inviting nor was the music. ",I would recommend a smaller venue or location. With such a large area it made the attendance seem sparce. A location that is less huge would make it seem more largely attended and would then make it more fun and actually promote more people to go. The lighting was very harsh and made it hard to walk into. The music also is an important factor. The artists who came mostly played original music which was nice but made it less widely enjoyable. Inviting a band to play that mostly does high energy covers of classic or well known songs would make people excited to attend.,1 - Did not meet my expectations,Music that nearly all people know and love really draws a crowd. I would stay away from bands playing mostly original music.,4 - Safe,Yes,,2 - Not fun,,3 - Neither satisfied nor dissatisfied,We need more theme events to bring people together. We also need good music. Playing universally loved songs actually makes people want to stay at an event and makes it fun. Bring back the den!,Bring back the den!,2023
17-Sep-22,Bateschella,12:30 AM,12:45 AM,3 - Neither satisfied nor dissatisfied,I heard that there was some activities on the field,Less harsh lighting in the area/on the field. It made the setting more intimidating to approach/felt exposing.,3 - Met my expectations,,3 - Neither safe nor unsafe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,"I would say it isn't anything special compared to other schools at this point, but there are some campus life activities that set it apart","I know the aim was to get rid of themed dances, but they give people an excuse to dress up, get out of their comfort zone, and hang out with friends. Just maybe have activities as a choice on the side while maintaining a theme. ",2023
17-Sep-22,Bateschella,11:00 PM,12:00am (midnight),5 - Highly satisfied,There were many options to keep us entertained. The music and food were great!,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,I like that we are such a small community,,2025
17-Sep-22,Bateschella,10:00 PM,12:15 AM,5 - Highly satisfied,It was so much fun! The food was amazing. The music was so vibes. The mechanical unicorn was a blast.,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,Everyone here is so nice. It is refreshing to have people welcome you with open arms.,"I think if it is possible, there be another thing like Bateschella. It was such a fun event to experience with my friends! ",2026
17-Sep-22,Bateschella,9:45 PM,11:00 PM,4 - Satisfied,it was fun!,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,i think im just struggling to find things to do and people to hang out with but I'll get there!,,2026
17-Sep-22,Bateschella,11:00 PM,12:00am (midnight),3 - Neither satisfied nor dissatisfied,It was fine but not as good as 80s by any means,Bring back 80s,3 - Met my expectations,,4 - Safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,I have a good group of friends and tend to have fun on campus,Bring back decades dances,2023
17-Sep-22,Bateschella,9:15 PM,10:15 PM,4 - Satisfied,I loved the music and I loved dancing with my friends!,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I have friends and I enjoy hanging out with them.,I think that events like Bateschella should happen more often. I had a lot of fun and things that involve music and dancing are very exciting.,2024
17-Sep-22,Bateschella,9:30 PM,10:45 PM,4 - Satisfied,was fun. more stuff on garcelon would have been fun though,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,poutine was really good bring them again for other stuff,4 - Satisfied,hard to explain. I like it though,,2025
17-Sep-22,Bateschella,9:00 PM,1:30 AM,5 - Highly satisfied,everything was amazing. The poutine. The music. The axes. The unicorn. The bouncy castle. Seeing my friends. So exciting.,,2 - Met some of my expectations,"too many people were expected and not enough showed up to fill the event space so I was walking around a little too much. Also, the bouncy castle was smaller than expected and the only reason I would├óÔé¼Ôäóve gone onto garc Elon was for the giant slide and you took that away but it├óÔé¼Ôäós fine",4 - Safe,Yes,,3 - Neither fun nor not fun,Thanks. I├óÔé¼Ôäóll remember this.,5 - Highly satisfied,So satisfied,I didn├óÔé¼Ôäót realize how long this was and I just want chance for den gift card so the rest of my answers are probably fluff,2023
17-Sep-22,Bateschella,10:00 PM,2:00 PM,4 - Satisfied,The event was so much fun and had more activities than I thought; I loved it!,,5 - Greatly exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,5 - Highly satisfied,I├óÔé¼Ôäóve met so many kind people and I├óÔé¼Ôäóve really enjoyed getting to know everyone at different events.,,2026
17-Sep-22,Bateschella,10:15 PM,12:30 AM,4 - Satisfied,"It was a fun way to get the community together! I really liked the live music and activities offered. There could've been more to do, but overall I liked it!",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,"It seems like there is always something to do which I like. I am not overwhelmed with options and don't feel like there is an excess amount of social opportunities, but I am satisfied.",,2026
17-Sep-22,Bateschella,9:30 PM,12:15 AM,4 - Satisfied,"Liked Alto Moon, the fun house, and the unicorn. The best part was dancing with my friends to Alto Moon's songs.",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I've made a lot of new friends, especially from the international student circle.",Events like the concert you hosted is really a great way to improve the social life. Maybe do something along the lines of that.,2026
17-Sep-22,Bateschella,9:00 PM,12:00am (midnight),5 - Highly satisfied,"The musicians were amazing, and I had a lot of fun dancing to the songs with my friends. I also LOVED the activities that were offered (axe throwing, bouncy house jumping, etc.) and I had so much fun taking weird pictures at the photo booth :)",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,"I really like the events that have been offered so far, and me and my friends have always had loads of fun. I find them a great a way to relax after spending so much time on classes and extracurricular activities :)",,2026
17-Sep-22,Bateschella,9:30 PM,11:30 PM,4 - Satisfied,"The event was well organized, safe for all participants, and created a welcoming and fun atmosphere on campus. ",,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,5 - Highly satisfied,I feel that there is a variety of events for all people to attend which promotes the inclusive social atmosphere at Bates.,,2026
17-Sep-22,Bateschella,9:45 PM,11:30 PM,4 - Satisfied,The things that were there were fun but unless you had friends to talk to or dance with it was a little underwhelming after an hour or so.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,I think the campus and events as a whole are good for being social,,2026
17-Sep-22,Bateschella,9:30 PM,11:30 PM,5 - Highly satisfied,Great performances and activities.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,I think Bates should bring back the decade parties.,,2025
17-Sep-22,Bateschella,10:45 PM,12:15 AM,5 - Highly satisfied,The music was absolutely fantastic and the fact that everyone went made this event so fun.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,Some of my professors have teaching styles that don't work the best for me. That isn't a huge problem since I am learning how to navigate that and be more independent from my professors.,,2026
17-Sep-22,Bateschella,10:15 PM,12:00am (midnight),4 - Satisfied,"It was fun, especially the photo booth ",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,People are really nice and approachable and easy to take to,,2026
17-Sep-22,Bateschella,9:15 PM,11:15 PM,5 - Highly satisfied,"There were many fun events, the music allowed for people to gather and hang out together.",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,There are many types of events.,,2026
17-Sep-22,Bateschella,10:15 PM,11:15 PM,4 - Satisfied,activities were fun! loved the bounce house and dancing!,,3 - Met my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,lots of opportunities to meet new people,,2026
17-Sep-22,Bateschella,12:00am (midnight),2:00 AM,1 - Highly dissatisfied,Just not what I was expecting.,Better artists. Someone actually popular,1 - Did not meet my expectations,Do better,3 - Neither safe nor unsafe,No,Have better artists,2 - Not fun,,3 - Neither satisfied nor dissatisfied,Idk,,
17-Sep-22,BATESCHELLA,8:45 PM,11:45 PM,5 - Highly satisfied,"It was an amazing event, and I am so happy that Bates organizes things like that!   ",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"Sometimes, I want to have more dancing parties (dance battles).",Dance battles,2026
17-Sep-22,Bateschella,9:30 PM,12:15 AM,3 - Neither satisfied nor dissatisfied,"I feel like it was too spread out, there wasn't really a center for everyone to gather around. ",I think have everything on Garcelon so it could all be together or just closer attractions.,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,I have been to many events where I have met lots of great people! I can relax or go do something social but still feel that I have a group to do something with!,,2026
